#,Company,Ticker,Weight,Price,Company Name,Market Cap,Revenue,Op. Income,Net Income,EPS,FCF,Sector,Industry,Long Name
1,Nvidia,NVDA,0.0765,181.99,NVIDIA Corporation,4338391930000.0,165218000000.0,95981000000.0,86597000000.0,3.52,72023000000.0,Technology,Semiconductors,NVIDIA Corporation
2,Microsoft,MSFT,0.0667,520.99,Microsoft Corporation,3801767276203.0,281724000000.0,128528000000.0,101832000000.0,13.64,71611000000.0,Technology,Software - Infrastructure,Microsoft Corporation
3,"Apple Inc,",AAPL,0.0597,233.28,Apple Inc.,3791126029400.0,408625000000.0,130214000000.0,99280000000.0,6.59,96184000000.0,Technology,Consumer Electronics,Apple Inc.
4,Amazon,AMZN,0.0427,232.14,"Amazon.com, Inc.",2343934380679.0,670038000000.0,76190000000.0,70623000000.0,6.56,51349000000.0,Consumer Cyclical,Internet Retail,"Amazon.com, Inc."
5,Meta Platforms,META,0.0339,783.78,"Meta Platforms, Inc.",1868445063231.0,178804000000.0,78710000000.0,71507000000.0,27.58,50137000000.0,Communication Services,Internet Content & Information,"Meta Platforms, Inc."
6,Broadcom,AVGO,0.0252,310.59,Broadcom Inc.,1571700874026.0,59926000000.0,22603000000.0,18932000000.0,3.92,24930000000.0,Technology,Semiconductors,Broadcom Inc.
7,"Alphabet Inc, (Class A)",GOOGL,0.0219,203.36,Alphabet Inc.,2981795821806.0,371399000000.0,121370000000.0,115573000000.0,9.38,66728000000.0,Communication Services,Internet Content & Information,Alphabet Inc.
8,"Alphabet Inc, (Class C)",GOOG,0.0206,204.34,Alphabet Inc.,2989536347992.0,371399000000.0,121370000000.0,115573000000.0,9.37,66728000000.0,Communication Services,Internet Content & Information,Alphabet Inc.
9,"Tesla, Inc,",TSLA,0.0186,334.28,"Tesla, Inc.",1420448259502.0,92720000000.0,5622000000.0,6065000000.0,1.73,5586000000.0,Consumer Cyclical,Auto Manufacturers,"Tesla, Inc."
11,JPMorgan Chase,JPM,0.0139,293.07,JPMorgan Chase & Co.,869087203095.0,175644000000.0,82941000000.0,55153000000.0,19.49,-148615000000.0,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
12,Walmart,WMT,0.0139,100.85,Walmart Inc.,822479321746.0,693153000000.0,28988000000.0,21344000000.0,2.67,13934000000.0,Consumer Defensive,Discount Stores,Walmart Inc.
